Organism; Proteom volume; Div Time 
Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482);372;4290
Vibrio vulnificus (strain CMCP6);733;4290
Campylobacter jejuni subsp. jejuni serotype O:6 (strain 81116 / NCTC 11828);311;4290
Bartonella bacilliformis (strain ATCC 35685 / KC583);258;4290
Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3);300;4290
Oligotropha carboxidovorans (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5);229;4290
Baumannia cicadellinicola subsp. Homalodisca coagulata;266;4290
Pseudomonas aeruginosa (strain UCBPP-PA14);594;4290
Klebsiella pneumoniae (strain 342);698;4290
Chloroflexus aggregans (strain MD-66 / DSM 9485);185;4290
Salmonella schwarzengrund (strain CVM19633);712;4290
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1);498;4290
Acinetobacter baumannii (strain ACICU);293;4290
Cenarchaeum symbiosum (strain A);102;4290
Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1);4;4290
Chelativorans sp. (strain BNC1);345;4290
Pseudomonas fluorescens (strain Pf0-1);555;4290
Salmonella paratyphi C (strain RKS4594);601;4290
Leptothrix cholodnii (strain ATCC 51168 / LMG 8142 / SP-6);260;4290
Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18);374;4290
Cronobacter sakazakii (strain ATCC BAA-894);622;4290
Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579);431;4290
Bacillus cereus (strain AH187);412;4290
Desulfovibrio alaskensis (strain G20);298;4290
Geobacillus kaustophilus (strain HTA426);510;4290
Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H);620;4290
Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1);501;4290
Escherichia coli O8 (strain IAI1);761;4290
Methanococcus maripaludis (strain C5 / ATCC BAA-1333);264;4290
Rhodococcus jostii (strain RHA1);348;4290
Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533);296;4290
Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1);362;4290
Methanosarcina barkeri (strain Fusaro / DSM 804);351;4290
Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303);386;4290
Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A);290;4290
Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961);975;4290
Aquifex aeolicus (strain VF5);784;4290
Buchnera aphidicola subsp. Acyrthosiphon pisum (strain 5A);249;4290
Synechocystis sp. (strain PCC 6803 / Kazusa);1064;4290
Shewanella baltica (strain OS185);452;4290
Photorhabdus luminescens subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01);746;4290
Burkholderia cenocepacia (strain AU 1054);419;4290
Staphylococcus aureus (strain JH1);455;4290
Prochlorococcus marinus (strain MIT 9301);304;4290
Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1);278;4290
Staphylococcus aureus (strain NCTC 8325);766;4290
Streptococcus pyogenes serotype M18 (strain MGAS8232);417;4290
Microchaete diplosiphon;41;4290
Shigella dysenteriae serotype 1 (strain Sd197);822;4290
Staphylococcus aureus (strain COL);899;4290
Shewanella sp. (strain W3-18-1);437;4290
Herminiimonas arsenicoxydans;314;4290
Neisseria gonorrhoeae (strain NCCP11945);247;4290
Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC);765;4290
Bacillus cereus (strain ZK / E33L);562;4290
Pseudomonas entomophila (strain L48);502;4290
Bacteroides fragilis (strain YCH46);334;4290
Roseiflexus sp. (strain RS-1);233;4290
Bifidobacterium longum (strain NCC 2705);306;4290
Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578);715;4290
Staphylococcus aureus (strain Mu50 / ATCC 700699);930;4290
Geobacter daltonii (strain DSM 22248 / JCM 15807 / FRC-32);239;4290
Shewanella baltica (strain OS223);407;4290
Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253);508;4290
Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIB 9529 / HD100);278;4290
Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3);181;4290
Shewanella halifaxensis (strain HAW-EB4);415;4290
Cytophaga hutchinsonii (strain ATCC 33406 / NCIMB 9469);247;4290
Bacillus thuringiensis (strain Al Hakam);393;4290
Pseudomonas putida;330;4290
Proteus mirabilis (strain HI4320);494;4290
Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS);426;4290
